iter	Passed	Remaining
599	2243	1495
600	2247	1491
601	2251	1488
602	2254	1484
603	2258	1480
604	2263	1477
605	2267	1473
606	2270	1470
607	2275	1466
608	2279	1463
609	2283	1459
610	2287	1456
611	2291	1452
612	2295	1449
613	2299	1445
614	2303	1442
615	2307	1438
616	2311	1434
617	2315	1431
618	2319	1427
619	2323	1424
620	2327	1420
621	2330	1416
622	2334	1412
623	2338	1408
624	2342	1405
625	2346	1401
626	2350	1398
627	2354	1394
628	2358	1390
629	2362	1387
630	2366	1383
631	2370	1380
632	2374	1376
633	2378	1373
634	2382	1369
635	2386	1365
636	2390	1362
637	2394	1358
638	2398	1355
639	2402	1351
640	2406	1348
641	2410	1344
642	2414	1340
643	2418	1337
644	2422	1333
645	2427	1330
646	2431	1326
647	2434	1322
648	2438	1318
649	2442	1315
650	2446	1311
651	2450	1307
652	2454	1304
653	2458	1300
654	2462	1297
655	2467	1293
656	2471	1290
657	2475	1286
658	2479	1282
659	2483	1279
660	2487	1275
661	2491	1272
662	2495	1268
663	2499	1264
664	2503	1261
665	2507	1257
666	2511	1253
667	2515	1250
668	2519	1246
669	2523	1242
670	2527	1239
671	2531	1235
672	2535	1231
673	2539	1228
674	2543	1224
675	2547	1220
676	2551	1217
677	2555	1213
678	2559	1210
679	2563	1206
680	2567	1202
681	2571	1199
682	2574	1194
683	2578	1191
684	2582	1187
685	2586	1183
686	2590	1180
687	2594	1176
688	2598	1173
689	2602	1169
690	2606	1165
691	2611	1162
692	2615	1158
693	2619	1155
694	2623	1151
695	2627	1147
696	2631	1143
697	2635	1140
698	2639	1136
699	2643	1133
700	2647	1129
701	2651	1125
702	2655	1121
703	2659	1118
704	2664	1114
705	2668	1111
706	2672	1107
707	2676	1103
708	2680	1100
709	2684	1096
710	2688	1092
711	2692	1089
712	2696	1085
713	2700	1081
714	2704	1078
715	2708	1074
716	2711	1070
717	2715	1066
718	2719	1063
719	2723	1059
720	2727	1055
721	2732	1052
722	2736	1048
723	2740	1044
724	2744	1040
725	2748	1037
726	2752	1033
727	2756	1029
728	2760	1026
729	2764	1022
730	2768	1018
731	2772	1015
732	2776	1011
733	2780	1007
734	2784	1003
735	2788	1000
736	2792	996
737	2796	992
738	2800	989
739	2804	985
740	2808	981
741	2812	978
742	2817	974
743	2820	970
744	2825	966
745	2829	963
746	2833	959
747	2838	956
748	2842	952
749	2847	949
750	2851	945
751	2855	941
752	2859	937
753	2863	934
754	2866	930
755	2871	926
756	2875	922
757	2879	919
758	2883	915
759	2887	911
760	2891	908
761	2896	904
762	2900	900
763	2904	897
764	2908	893
765	2912	889
766	2917	886
767	2921	882
768	2925	878
769	2929	875
770	2933	871
771	2937	867
772	2942	864
773	2946	860
774	2950	856
775	2954	852
776	2958	849
777	2962	845
778	2966	841
779	2970	837
780	2974	834
781	2979	830
782	2983	826
783	2987	822
784	2990	819
785	2995	815
786	2998	811
787	3002	807
788	3006	804
789	3010	800
790	3014	796
791	3018	792
792	3022	789
793	3026	785
794	3031	781
795	3035	777
796	3038	773
797	3042	770
798	3046	766
799	3048	762
800	3052	758
801	3056	754
802	3060	750
803	3063	746
804	3067	742
805	3070	738
806	3073	735
807	3077	731
808	3080	727
809	3084	723
810	3088	719
811	3092	715
812	3095	711
813	3099	708
814	3102	704
815	3105	700
816	3109	696
817	3112	692
818	3116	688
819	3119	684
820	3123	680
821	3126	677
822	3130	673
823	3134	669
824	3138	665
825	3142	661
826	3145	657
827	3148	654
828	3151	650
829	3156	646
830	3159	642
831	3163	638
832	3166	634
833	3170	631
834	3174	627
835	3178	623
836	3181	619
837	3184	615
838	3188	611
839	3191	607
840	3194	603
841	3197	600
842	3200	596
843	3205	592
844	3208	588
845	3212	584
846	3215	580
847	3219	577
848	3223	573
849	3227	569
850	3231	565
851	3235	562
852	3239	558
853	3243	554
854	3247	550
855	3252	547
856	3256	543
857	3260	539
858	3264	535
859	3268	532
860	3273	528
861	3277	524
862	3281	520
863	3285	517
864	3288	513
865	3293	509
866	3298	505
867	3302	502
868	3306	498
869	3310	494
870	3314	490
871	3318	487
872	3322	483
873	3326	479
874	3330	475
875	3334	472
876	3338	468
877	3342	464
878	3346	460
879	3350	456
880	3354	453
881	3358	449
882	3362	445
883	3366	441
884	3370	437
885	3374	434
886	3378	430
887	3382	426
888	3386	422
889	3390	419
890	3394	415
891	3398	411
892	3402	407
893	3406	403
894	3410	400
895	3414	396
896	3418	392
897	3422	388
898	3427	385
899	3431	381
900	3435	377
901	3439	373
902	3442	369
903	3446	366
904	3451	362
905	3455	358
906	3459	354
907	3463	350
908	3465	346
909	3469	343
910	3473	339
911	3476	335
912	3479	331
913	3482	327
914	3485	323
915	3488	319
916	3492	316
917	3495	312
918	3498	308
919	3501	304
920	3504	300
921	3507	296
922	3511	292
923	3513	289
924	3517	285
925	3520	281
926	3523	277
927	3527	273
928	3530	269
929	3534	266
930	3537	262
931	3540	258
932	3544	254
933	3547	250
934	3551	246
935	3554	243
936	3557	239
937	3561	235
938	3564	231
939	3567	227
940	3570	223
941	3574	220
942	3577	216
943	3581	212
944	3584	208
945	3587	204
946	3591	200
947	3594	197
948	3597	193
949	3600	189
950	3604	185
951	3608	181
952	3611	178
953	3615	174
954	3617	170
955	3621	166
956	3625	162
957	3628	159
958	3632	155
959	3634	151
960	3638	147
961	3641	143
962	3645	140
963	3648	136
964	3651	132
965	3656	128
966	3658	124
967	3662	121
968	3666	117
969	3670	113
970	3674	109
971	3678	105
972	3682	102
973	3686	98
974	3690	94
975	3694	90
976	3699	87
977	3703	83
978	3707	79
979	3711	75
980	3715	71
981	3719	68
982	3723	64
983	3728	60
984	3732	56
985	3736	53
986	3740	49
987	3744	45
988	3748	41
989	3752	37
990	3757	34
991	3761	30
992	3765	26
993	3770	22
994	3774	18
995	3778	15
996	3782	11
997	3786	7
998	3789	3
999	3793	0
